PurchaseDate,Category,Description,Installment,Value
2024-01-02,Electronics,APPLE STORE IPHONE,1/12,-500.00
2024-01-06,Food,STARBUCKS,1/1,-28.50
2024-01-09,Shopping,RENNER ROUPAS,1/1,-280.00
2024-01-11,Services,NETFLIX ASSINATURA,1/1,-55.90
2024-01-14,Food,MCDONALDS,1/1,-35.00
2024-01-17,Transportation,99 CORRIDAS,1/1,-52.00
2024-01-19,Health,DROGA RAIA MEDICAMENTOS,1/1,-145.00
2024-01-23,Food,PADARIA BRASILEIRA,1/1,-45.50
2024-01-26,Shopping,AMERICANAS COMPRAS,1/1,-190.00
2024-01-29,Entertainment,SPOTIFY FAMILIA,1/1,-34.90
