Date,Description,Value,Balance
2024-01-01,SALDO ANTERIOR,0.00,50000.00
2024-01-02,TRANSFERENCIA PIX RECEBIDA,5000.00,55000.00
2024-01-05,APLICACAO CDB ITAU,-10000.00,45000.00
2024-01-10,PAGAMENTO CARTAO CREDITO,-3500.00,41500.00
2024-01-15,SALARIO EMPRESA XYZ,15000.00,56500.00
2024-01-16,TED ENVIADA CONTA INVESTIMENTO,-5000.00,51500.00
2024-01-18,SUPERMERCADO ZONA SUL,-450.50,51049.50
2024-01-20,POSTO IPIRANGA,-280.00,50769.50
2024-01-22,FARMACIA DROGASIL,-125.80,50643.70
2024-01-25,RESTAURANTE BELLA VITA,-380.00,50263.70
2024-01-28,UBER VIAGENS,-95.50,50168.20
2024-01-30,PAGAMENTO LUZ LIGHT,-340.50,49827.70
