PurchaseDate,Category,Description,Installment,Value
2024-01-05,Shopping,MAGAZINE LUIZA NOTEBOOK,1/10,-300.00
2024-01-08,Food,RESTAURANTE OUTBACK,1/1,-180.50
2024-01-10,Transportation,UBER VIAGENS,1/1,-45.00
2024-01-12,Shopping,AMAZON BRASIL COMPRAS,1/1,-250.00
2024-01-15,Health,FARMACIA SAO PAULO,1/1,-89.90
2024-01-18,Food,SUPERMERCADO CARREFOUR,1/1,-520.30
2024-01-20,Entertainment,CINEMA CINEMARK,1/1,-85.00
2024-01-22,Shopping,ZARA ROUPAS,1/3,-450.00
2024-01-25,Food,IFOOD PEDIDO,1/1,-65.00
2024-01-28,Services,SPOTIFY PREMIUM,1/1,-21.90
2024-01-30,Transportation,POSTO SHELL GASOLINA,1/1,-320.00
