Date,Description,Amount,Account,Balance
01/01/2024,PAYROLL DEPOSIT,3500.00,****1234,8450.25
01/02/2024,WHOLE FOODS MARKET,-125.50,****1234,8324.75
01/03/2024,SHELL GAS STATION,-45.00,****1234,8279.75
01/03/2024,STARBUCKS COFFEE,-5.75,****1234,8273.00
01/04/2024,NETFLIX SUBSCRIPTION,-15.99,****1234,8257.01
01/05/2024,TRANSFER TO SAVINGS,-500.00,****1234,7757.01
01/05/2024,AMAZON.COM PURCHASE,-87.45,****1234,7669.56
01/06/2024,CHIPOTLE RESTAURANT,-12.50,****1234,7657.06
01/07/2024,VERIZON WIRELESS,-85.00,****1234,7572.06
01/08/2024,TRADER JOES GROCERY,-67.25,****1234,7504.81
01/09/2024,UBER RIDE SHARE,-18.50,****1234,7486.31
01/10/2024,CVS PHARMACY,-23.75,****1234,7462.56
01/11/2024,SPOTIFY PREMIUM,-9.99,****1234,7452.57
01/12/2024,SAFEWAY GROCERY,-89.30,****1234,7363.27
01/13/2024,CHEVRON GAS STATION,-52.00,****1234,7311.27
01/14/2024,PANERA BREAD,-14.25,****1234,7297.02
01/15/2024,PAYROLL DEPOSIT,3500.00,****1234,10797.02
01/16/2024,MORTGAGE PAYMENT,-1850.00,****1234,8947.02
01/17/2024,ELECTRIC UTILITY,-120.50,****1234,8826.52
01/18/2024,INTERNET SERVICE COMCAST,-89.99,****1234,8736.53
01/19/2024,WHOLE FOODS MARKET,-145.75,****1234,8590.78
01/20/2024,TARGET DEPARTMENT STORE,-156.40,****1234,8434.38
01/21/2024,STARBUCKS COFFEE,-6.50,****1234,8427.88
01/22/2024,INVESTMENT APLICACAO FUNDO,-1000.00,****1234,7427.88
01/23/2024,DIVIDEND PAYMENT STOCK,125.50,****1234,7553.38
01/24/2024,TRADER JOES GROCERY,-72.80,****1234,7480.58
01/25/2024,SHELL GAS STATION,-48.25,****1234,7432.33
01/26/2024,DOCTOR VISIT COPAY,-35.00,****1234,7397.33
01/27/2024,WALGREENS PHARMACY,-18.90,****1234,7378.43
01/28/2024,AMAZON PRIME VIDEO,-14.99,****1234,7363.44
01/29/2024,COSTCO WHOLESALE,-245.65,****1234,7117.79
01/30/2024,UBER EATS DELIVERY,-32.50,****1234,7085.29
01/31/2024,BANK SERVICE FEE,-12.00,****1234,7073.29
