Index,Date,Value
CDI,2024-01-01,10.65
CDI,2024-01-02,10.65
CDI,2024-01-03,10.65
CDI,2024-01-04,10.65
CDI,2024-01-05,10.65
SELIC,2024-01-01,11.75
SELIC,2024-01-02,11.75
SELIC,2024-01-03,11.75
SELIC,2024-01-04,11.75
SELIC,2024-01-05,11.75
IPCA,2024-01-01,4.62
USD_BRL,2024-01-01,4.85
USD_BRL,2024-01-02,4.87
USD_BRL,2024-01-03,4.86
USD_BRL,2024-01-04,4.88
USD_BRL,2024-01-05,4.90
FED_FUNDS,2024-01-01,5.33
FED_FUNDS,2024-01-02,5.33
FED_FUNDS,2024-01-03,5.33
FED_FUNDS,2024-01-04,5.33
FED_FUNDS,2024-01-05,5.33
