Transaction Date,Description,Debit,Credit
01/02/2024,AMAZON.COM ORDER #12345,87.45,
01/03/2024,APPLE.COM/BILL,9.99,
01/05/2024,RESTAURANT LA BELLA VITA,78.50,
01/06/2024,UBER TECHNOLOGIES,15.75,
01/08/2024,BEST BUY ELECTRONICS,245.99,
01/09/2024,NETFLIX.COM,15.99,
01/10/2024,PAYMENT RECEIVED,,500.00
01/12/2024,HILTON HOTEL CHICAGO,189.00,
01/13/2024,DELTA AIR LINES,325.50,
01/15/2024,HOME DEPOT SUPPLIES,156.78,
01/16/2024,SPOTIFY PREMIUM,9.99,
01/18/2024,OLIVE GARDEN RESTAURANT,52.30,
01/19/2024,SHELL OIL STATION,45.00,
01/20/2024,AMAZON PRIME SUBSCRIPTION,14.99,
01/21/2024,STARBUCKS,6.75,
01/22/2024,WHOLE FOODS MARKET,98.45,
01/24/2024,LYFT RIDE,12.50,
01/25/2024,APPLE STORE PURCHASE,1299.00,
01/26/2024,CVS PHARMACY,28.90,
01/27/2024,CHIPOTLE MEXICAN GRILL,13.75,
01/28/2024,HULU STREAMING SERVICE,7.99,
01/29/2024,AMAZON.COM ORDER #67890,156.32,
01/30/2024,INTEREST CHARGE,18.50,
01/31/2024,ANNUAL FEE,95.00,
